location,reference_date,decrease,increase,stable
01,2023-10-14,0.0,0.0504201680672268,0.9495798319327732
01,2023-10-21,0.0,0.0,1.0
01,2023-10-28,0.0,0.0095238095238095,0.9904761904761904
01,2023-11-04,0.0,0.0,1.0
01,2023-11-11,0.0,0.0171428571428571,0.9828571428571428
01,2023-11-18,0.0,0.0228310502283105,0.9771689497716894
01,2023-11-25,0.000311623558741,0.052352757868494804,0.947335618572764
01,2023-12-02,0.0,0.0036934441366574,0.9963065558633426
01,2023-12-09,0.0,0.0402684563758389,0.959731543624161
01,2023-12-16,0.0204443466246041,0.2894611349546971,0.6900945184206987
01,2023-12-23,0.08025025316631279,0.379541387490116,0.5402083593435709
01,2023-12-30,0.095630898287312,0.1986018874519398,0.705767214260748
01,2024-01-06,0.0003141690229343,0.7470939365378573,0.2525918944392083
01,2024-01-13,0.0552937480364436,0.3971096449890041,0.5475966069745523
01,2024-01-20,0.0388932393630905,0.3341164186896371,0.6269903419472722
01,2024-01-27,0.0390544707091469,0.0452209660842754,0.9157245632065776
01,2024-02-03,0.0249702734839476,0.0035671819262782,0.971462544589774
01,2024-02-10,0.0050346129641283,0.0031466331025802,0.9918187539332912
01,2024-02-17,0.0169160702667534,0.0013012361743656,0.9817826935588808
01,2024-02-24,0.3677538624059157,0.0,0.6322461375940842
01,2024-03-02,0.0385109114249037,0.0,0.9614890885750964
01,2024-03-09,0.0,0.004,0.996
01,2024-03-16,0.0,0.001,0.999
01,2024-03-23,0.004,0.003,0.993
01,2024-03-30,0.0,0.003,0.997
01,2024-04-06,0.0,0.001,0.999
01,2024-04-13,0.0,0.004,0.996
01,2024-04-20,0.0,0.004,0.996
01,2024-04-27,0.0,0.009,0.991
01,2024-05-04,0.0,0.005,0.995
01,2024-11-30,0.1697833184921341,0.1890768774116948,0.641139804096171
01,2024-12-07,0.1564792176039119,0.3129584352078239,0.530562347188264
01,2024-12-14,0.0246243739565943,0.8000834724540902,0.1752921535893155
02,2023-10-14,0.0,0.31092436974789905,0.6890756302521008
